,Date,Actual,Predicted
0,2025-01-01,418.58,424.33984
1,2025-01-02,423.35,420.9196
2,2025-01-03,427.85,418.03635
3,2025-01-06,422.37,415.69922
4,2025-01-07,424.56,413.89655
5,2025-01-08,418.95,412.61517
6,2025-01-09,417.19,411.84445
7,2025-01-10,415.67,411.57318
8,2025-01-13,426.31,411.78574
9,2025-01-14,424.58,412.45868
10,2025-01-15,429.03,413.5614
11,2025-01-16,428.5,415.05527
12,2025-01-17,446.2,416.8959
13,2025-01-20,446.71,419.0343
14,2025-01-21,444.06,421.41827
15,2025-01-22,434.56,423.99353
16,2025-01-23,447.2,426.70422
17,2025-01-24,442.33,429.4948
18,2025-01-27,414.99,432.3098
19,2025-01-28,415.06,435.09637
