,sector,symbol,date,open,high,low,close,volume,num_trades
0,Technology/IT,GOOGL,2025-01-02,190.65,192.0,187.5,189.43,20370828.0,328515
1,Technology/IT,GOOGL,2025-01-03,191.37,193.21,189.975,191.79,18596159.0,261756
2,Technology/IT,GOOGL,2025-01-06,193.98,198.2222,193.85,196.87,29563638.0,385128
3,Technology/IT,GOOGL,2025-01-07,197.11,201.0,194.6,195.49,26487244.0,363663
4,Technology/IT,GOOGL,2025-01-08,192.57,196.29,192.38,193.95,24864766.0,339162
5,Technology/IT,GOOGL,2025-01-10,194.295,196.52,190.31,192.04,26665206.0,379247
6,Technology/IT,GOOGL,2025-01-13,190.07,191.18,187.36,191.01,21823682.0,299677
7,Technology/IT,GOOGL,2025-01-14,191.24,191.98,188.3082,189.66,17174854.0,236897
8,Technology/IT,GOOGL,2025-01-15,193.09,196.36,191.86,195.55,21775969.0,270843
9,Technology/IT,GOOGL,2025-01-16,194.14,195.48,192.81,192.91,17515432.0,243138
10,Technology/IT,GOOGL,2025-01-17,196.53,197.23,193.75,196.0,27735089.0,277088
11,Technology/IT,GOOGL,2025-01-21,199.07,202.29,197.87,198.05,29956792.0,440059
12,Technology/IT,GOOGL,2025-01-22,199.06,200.48,197.53,198.37,26200605.0,343059
13,Technology/IT,GOOGL,2025-01-23,198.14,200.3,195.2,197.98,26951357.0,332356
14,Technology/IT,GOOGL,2025-01-24,198.1,200.9,198.0,200.21,23877521.0,293405
15,Technology/IT,GOOGL,2025-01-27,192.41,196.88,190.73,191.81,41728833.0,617249
16,Technology/IT,GOOGL,2025-01-28,192.745,195.48,190.68,195.3,24157929.0,332199
17,Technology/IT,GOOGL,2025-01-29,195.555,196.785,193.43,195.41,18217764.0,276384
18,Technology/IT,GOOGL,2025-01-30,198.0,201.4,197.67,200.87,24354684.0,336195
19,Technology/IT,GOOGL,2025-01-31,202.0,205.48,201.8,204.02,32041952.0,411503
20,Technology/IT,AMZN,2025-01-02,222.03,225.15,218.19,220.22,33956579.0,449631
21,Technology/IT,AMZN,2025-01-03,222.505,225.36,221.62,224.19,27503606.0,346975
22,Technology/IT,AMZN,2025-01-06,226.78,228.835,224.84,227.61,31849831.0,410686
23,Technology/IT,AMZN,2025-01-07,227.9,228.381,221.46,222.11,28084164.0,379570
24,Technology/IT,AMZN,2025-01-08,223.185,223.52,220.2,222.13,25033292.0,325539
25,Technology/IT,AMZN,2025-01-10,221.46,221.71,216.5,218.94,36811525.0,493840
26,Technology/IT,AMZN,2025-01-13,218.06,219.4,216.47,218.46,27262655.0,373519
27,Technology/IT,AMZN,2025-01-14,220.44,221.82,216.2,217.76,24711650.0,332022
28,Technology/IT,AMZN,2025-01-15,222.83,223.57,220.75,223.35,31291257.0,353985
29,Technology/IT,AMZN,2025-01-16,224.42,224.65,220.31,220.66,24457276.0,313322
30,Technology/IT,AMZN,2025-01-17,225.84,226.51,223.08,225.94,42355173.0,385913
31,Technology/IT,AMZN,2025-01-21,228.9,231.78,226.94,230.71,39951456.0,552447
32,Technology/IT,AMZN,2025-01-22,232.02,235.44,231.19,235.01,41448217.0,512233
33,Technology/IT,AMZN,2025-01-23,234.1,235.52,231.51,235.42,26404364.0,365153
34,Technology/IT,AMZN,2025-01-24,234.5,236.4,232.93,234.85,25840738.0,349377
35,Technology/IT,AMZN,2025-01-27,226.21,235.61,225.86,235.42,49428332.0,661486
36,Technology/IT,AMZN,2025-01-28,234.29,241.77,233.98,238.15,41587188.0,542344
37,Technology/IT,AMZN,2025-01-29,239.015,240.39,236.15,237.07,26088785.0,384888
38,Technology/IT,AMZN,2025-01-30,237.14,237.95,232.22,234.64,32020728.0,428122
39,Technology/IT,AMZN,2025-01-31,236.5,240.29,236.41,237.68,36162377.0,435388
40,Technology/IT,MSFT,2025-01-02,425.53,426.07,414.85,418.58,16896469.0,353076
41,Technology/IT,MSFT,2025-01-03,421.08,424.03,419.54,423.35,16662943.0,285046
42,Technology/IT,MSFT,2025-01-06,428.0,434.32,425.4774,427.85,20573648.0,372816
43,Technology/IT,MSFT,2025-01-07,429.0,430.65,420.8,422.37,18139065.0,299265
44,Technology/IT,MSFT,2025-01-08,423.46,426.97,421.54,424.56,15046575.0,249659
45,Technology/IT,MSFT,2025-01-10,424.63,424.71,415.02,418.95,20162632.0,360659
46,Technology/IT,MSFT,2025-01-13,415.235,418.5,412.29,417.19,17604780.0,305299
47,Technology/IT,MSFT,2025-01-14,417.81,419.74,410.72,415.67,16927056.0,291482
48,Technology/IT,MSFT,2025-01-15,419.13,428.15,418.265,426.31,19637838.0,306574
49,Technology/IT,MSFT,2025-01-16,428.695,429.49,424.39,424.58,15296423.0,247930
50,Technology/IT,MSFT,2025-01-17,434.085,434.48,428.17,429.03,26197507.0,280168
51,Technology/IT,MSFT,2025-01-21,430.2,430.8999,425.595,428.5,26085703.0,389324
52,Technology/IT,MSFT,2025-01-22,437.56,447.27,436.0,446.2,27803811.0,463559
53,Technology/IT,MSFT,2025-01-23,442.0,446.75,441.5048,446.71,18376270.0,281368
54,Technology/IT,MSFT,2025-01-24,445.16,446.65,441.4,444.06,15549453.0,269540
55,Technology/IT,MSFT,2025-01-27,424.01,435.2,423.5,434.56,35636555.0,646790
56,Technology/IT,MSFT,2025-01-28,434.6,448.38,431.38,447.2,23487653.0,419472
57,Technology/IT,MSFT,2025-01-29,446.69,446.88,440.4,442.33,23581370.0,466063
58,Technology/IT,MSFT,2025-01-30,418.77,422.86,413.16,414.99,54585060.0,1142722
59,Technology/IT,MSFT,2025-01-31,418.98,420.69,414.91,415.06,34223388.0,567270
60,Technology/IT,AAPL,2025-01-02,248.93,249.1,241.8201,243.85,55090731.0,685447
61,Technology/IT,AAPL,2025-01-03,243.36,244.18,241.89,243.36,40244114.0,493786
62,Technology/IT,AAPL,2025-01-06,244.31,247.33,243.2,245.0,45045571.0,493920
63,Technology/IT,AAPL,2025-01-07,242.98,245.55,241.35,242.21,40855960.0,462887
64,Technology/IT,AAPL,2025-01-08,241.92,243.7123,240.05,242.7,37613940.0,406915
65,Technology/IT,AAPL,2025-01-10,240.01,240.16,233.0,236.85,61705156.0,685975
66,Technology/IT,AAPL,2025-01-13,233.53,234.67,229.72,234.4,49630725.0,561231
67,Technology/IT,AAPL,2025-01-14,234.75,236.12,232.472,233.28,39433494.0,436332
68,Technology/IT,AAPL,2025-01-15,234.635,238.96,234.43,237.87,39822169.0,418803
69,Technology/IT,AAPL,2025-01-16,237.35,238.01,228.03,228.26,71752652.0,786111
70,Technology/IT,AAPL,2025-01-17,232.115,232.29,228.48,229.98,67849101.0,579300
71,Technology/IT,AAPL,2025-01-21,224.0,224.42,219.38,222.64,98070429.0,1220197
72,Technology/IT,AAPL,2025-01-22,219.79,224.12,219.79,223.83,64126500.0,683037
73,Technology/IT,AAPL,2025-01-23,224.74,227.03,222.3,223.66,60234760.0,619806
74,Technology/IT,AAPL,2025-01-24,224.78,225.63,221.41,222.78,54697907.0,579473
75,Technology/IT,AAPL,2025-01-27,224.02,232.15,223.98,229.86,94863418.0,1008209
76,Technology/IT,AAPL,2025-01-28,230.85,240.19,230.81,238.26,75682044.0,788816
77,Technology/IT,AAPL,2025-01-29,234.12,239.855,234.01,239.36,45475767.0,515212
78,Technology/IT,AAPL,2025-01-30,238.665,240.79,237.21,237.59,55658279.0,636380
79,Technology/IT,AAPL,2025-01-31,247.19,247.19,233.44,236.0,101071628.0,936709
80,Technology/IT,META,2025-01-02,589.72,604.91,587.82,599.24,12682269.0,248322
81,Technology/IT,META,2025-01-03,604.76,609.5,596.4136,604.63,11436784.0,220346
82,Technology/IT,META,2025-01-06,611.825,630.99,605.62,630.2,14560754.0,301412
83,Technology/IT,META,2025-01-07,631.7,632.1011,608.23,617.89,12071479.0,283114
84,Technology/IT,META,2025-01-08,613.395,616.4397,602.79,610.72,10085846.0,226180
85,Technology/IT,META,2025-01-10,610.03,629.91,597.34,615.86,19256564.0,394275
86,Technology/IT,META,2025-01-13,607.1,608.97,598.445,608.33,10785031.0,251995
87,Technology/IT,META,2025-01-14,605.065,605.49,588.55,594.25,13587342.0,318107
88,Technology/IT,META,2025-01-15,610.21,622.46,606.5,617.12,15515302.0,295459
89,Technology/IT,META,2025-01-16,611.5,616.25,609.71,611.3,8355349.0,193828
90,Technology/IT,META,2025-01-17,624.05,624.97,603.67,612.77,16979600.0,283466
91,Technology/IT,META,2025-01-21,617.825,621.5,609.0082,616.46,11674016.0,271033
92,Technology/IT,META,2025-01-22,623.3,633.7,619.435,623.5,12274011.0,264124
93,Technology/IT,META,2025-01-23,627.36,636.6,621.15,636.45,9910163.0,225153
94,Technology/IT,META,2025-01-24,636.4,652.0,634.2,647.49,19065329.0,423876
95,Technology/IT,META,2025-01-27,626.61,663.87,625.1,659.88,28399190.0,620713
96,Technology/IT,META,2025-01-28,666.0,682.58,659.465,674.33,20917557.0,470035
97,Technology/IT,META,2025-01-29,675.0,681.0459,665.67,676.49,21377820.0,503477
98,Technology/IT,META,2025-01-30,696.82,710.79,676.1,687.0,29322898.0,580180
99,Technology/IT,META,2025-01-31,691.0,705.2999,685.58,689.18,19331660.0,390412
100,Consumer Goods/Retail,HD,2025-01-02,392.13,392.67,386.38,388.46,2418343.0,58574
101,Consumer Goods/Retail,HD,2025-01-03,389.82,391.01,385.81,389.18,2232389.0,49469
102,Consumer Goods/Retail,HD,2025-01-06,390.5,393.99,388.03,389.37,3274669.0,64816
103,Consumer Goods/Retail,HD,2025-01-07,390.9,391.9,383.1,384.23,2274312.0,59502
104,Consumer Goods/Retail,HD,2025-01-08,383.0,387.69,380.1,387.2,2848462.0,60599
105,Consumer Goods/Retail,HD,2025-01-10,388.91,392.91,384.615,389.89,5323431.0,115687
106,Consumer Goods/Retail,HD,2025-01-13,389.99,395.86,387.7,389.18,3512936.0,85968
107,Consumer Goods/Retail,HD,2025-01-14,390.59,394.2,389.63,392.78,3405174.0,67505
108,Consumer Goods/Retail,HD,2025-01-15,406.65,408.0,401.76,406.09,4584769.0,89658
109,Consumer Goods/Retail,HD,2025-01-16,406.27,410.105,403.916,409.33,2305938.0,58092
110,Consumer Goods/Retail,HD,2025-01-17,413.49,414.45,408.53,409.38,3228960.0,63199
111,Consumer Goods/Retail,HD,2025-01-21,413.0,420.22,413.0,418.43,3568089.0,76097
112,Consumer Goods/Retail,HD,2025-01-22,417.55,417.55,409.33,410.1,3581351.0,75492
113,Consumer Goods/Retail,HD,2025-01-23,411.57,414.69,408.75,414.39,3840275.0,74946
114,Consumer Goods/Retail,HD,2025-01-24,414.09,415.01,410.755,414.5,2370116.0,54753
115,Consumer Goods/Retail,HD,2025-01-27,414.9,426.1859,414.0,424.87,3699202.0,84334
116,Consumer Goods/Retail,HD,2025-01-28,423.24,423.24,416.7,418.83,2818648.0,65320
117,Consumer Goods/Retail,HD,2025-01-29,420.22,421.37,411.79,413.42,2385201.0,62365
118,Consumer Goods/Retail,HD,2025-01-30,416.41,417.3236,411.5192,414.5,3081304.0,65460
119,Consumer Goods/Retail,HD,2025-01-31,413.17,416.38,410.32,411.98,2761798.0,62254
120,Consumer Goods/Retail,KO,2025-01-02,62.35,62.75,61.62,61.84,12990975.0,112814
121,Consumer Goods/Retail,KO,2025-01-03,61.9,62.075,61.62,61.75,10403204.0,97672
122,Consumer Goods/Retail,KO,2025-01-06,61.5,61.565,60.66,60.81,17924237.0,181518
123,Consumer Goods/Retail,KO,2025-01-07,61.11,61.7175,60.615,60.84,17799629.0,153326
124,Consumer Goods/Retail,KO,2025-01-08,60.99,61.77,60.93,61.71,13922797.0,126247
125,Consumer Goods/Retail,KO,2025-01-10,61.58,61.65,60.73,61.07,22424951.0,167716
126,Consumer Goods/Retail,KO,2025-01-13,61.13,61.845,60.71,61.65,18016173.0,139354
127,Consumer Goods/Retail,KO,2025-01-14,61.655,62.065,61.3,62.04,16637287.0,123209
128,Consumer Goods/Retail,KO,2025-01-15,62.33,62.62,61.68,61.77,16187203.0,125735
129,Consumer Goods/Retail,KO,2025-01-16,61.42,62.3,61.32,62.25,12585528.0,107933
130,Consumer Goods/Retail,KO,2025-01-17,62.31,62.765,62.17,62.71,17948868.0,119939
131,Consumer Goods/Retail,KO,2025-01-21,62.9,63.23,62.3,62.42,19817068.0,155808
132,Consumer Goods/Retail,KO,2025-01-22,62.12,62.285,61.66,61.78,18191886.0,137267
133,Consumer Goods/Retail,KO,2025-01-23,61.8,61.98,61.37,61.53,16528423.0,131818
134,Consumer Goods/Retail,KO,2025-01-24,61.72,62.01,61.435,61.92,19244604.0,152687
135,Consumer Goods/Retail,KO,2025-01-27,62.87,64.18,62.473,63.87,20742915.0,199570
136,Consumer Goods/Retail,KO,2025-01-28,63.51,64.04,62.28,62.36,14956031.0,154564
137,Consumer Goods/Retail,KO,2025-01-29,62.56,63.36,62.55,62.83,11325635.0,115416
138,Consumer Goods/Retail,KO,2025-01-30,63.85,64.285,63.23,64.05,13200977.0,121389
139,Consumer Goods/Retail,KO,2025-01-31,63.7,63.93,63.39,63.48,12102060.0,114051
140,Financial Services,MA,2025-01-02,529.19,530.56,517.66,522.4,2818795.0,62161
141,Financial Services,MA,2025-01-03,522.53,524.46,517.68,521.36,1627726.0,47945
142,Financial Services,MA,2025-01-06,520.97,521.36,511.01,511.93,2920787.0,68204
143,Financial Services,MA,2025-01-07,513.68,516.33,511.075,511.4,2211877.0,54161
144,Financial Services,MA,2025-01-08,512.04,517.45,511.5325,516.4,2456715.0,48150
145,Financial Services,MA,2025-01-10,512.12,513.76,503.36,504.67,2815624.0,70821
146,Financial Services,MA,2025-01-13,501.0,506.15,499.92,504.91,2885549.0,54051
147,Financial Services,MA,2025-01-14,507.07,509.39,504.21,509.02,2704795.0,49528
148,Financial Services,MA,2025-01-15,515.57,523.77,513.73,522.35,3025066.0,65578
149,Financial Services,MA,2025-01-16,523.62,527.12,520.72,523.14,3275700.0,54341
150,Financial Services,MA,2025-01-17,524.58,528.13,521.01,524.7,2374798.0,50769
151,Financial Services,MA,2025-01-21,527.66,529.98,526.91,528.06,2706947.0,57589
152,Financial Services,MA,2025-01-22,528.0,530.3,525.67,527.18,2037643.0,44568
153,Financial Services,MA,2025-01-23,529.05,534.35,528.68,534.22,2192257.0,54294
154,Financial Services,MA,2025-01-24,532.99,536.06,532.15,533.49,2473012.0,54388
155,Financial Services,MA,2025-01-27,533.58,547.99,531.655,547.64,3074807.0,71837
156,Financial Services,MA,2025-01-28,546.54,551.5519,542.66,547.36,2727798.0,62898
157,Financial Services,MA,2025-01-29,547.0,550.61,546.5,548.8,2549001.0,61921
158,Financial Services,MA,2025-01-30,555.0,576.94,554.53,566.01,6005206.0,130019
159,Financial Services,MA,2025-01-31,563.82,565.54,554.64,555.43,4505520.0,88973
160,Consumer Goods/Retail,PEP,2025-01-02,152.88,153.66,149.89,150.21,4970233.0,77045
161,Consumer Goods/Retail,PEP,2025-01-03,150.96,150.96,149.56,149.65,5221639.0,81184
162,Consumer Goods/Retail,PEP,2025-01-06,149.6,149.95,146.1,146.27,9470626.0,137337
163,Consumer Goods/Retail,PEP,2025-01-07,146.46,147.97,145.34,145.4,7473300.0,100598
164,Consumer Goods/Retail,PEP,2025-01-08,145.4,146.67,144.56,146.54,6791848.0,81321
165,Consumer Goods/Retail,PEP,2025-01-10,145.0,145.575,141.51,142.64,9632651.0,144429
166,Consumer Goods/Retail,PEP,2025-01-13,142.79,145.14,142.14,144.5,8101358.0,105741
167,Consumer Goods/Retail,PEP,2025-01-14,144.19,145.14,143.56,144.95,6996448.0,85744
168,Consumer Goods/Retail,PEP,2025-01-15,145.49,146.2,144.17,144.78,7141555.0,89171
169,Consumer Goods/Retail,PEP,2025-01-16,144.05,146.79,143.69,146.54,5068040.0,77237
170,Consumer Goods/Retail,PEP,2025-01-17,147.72,148.62,147.17,148.25,7338870.0,86590
171,Consumer Goods/Retail,PEP,2025-01-21,148.33,149.78,147.77,148.55,7456182.0,89818
172,Consumer Goods/Retail,PEP,2025-01-22,148.23,149.45,147.79,148.09,5905060.0,72558
173,Consumer Goods/Retail,PEP,2025-01-23,148.49,148.9399,146.61,148.62,4759125.0,72782
174,Consumer Goods/Retail,PEP,2025-01-24,148.82,149.31,148.13,149.12,4509550.0,62454
175,Consumer Goods/Retail,PEP,2025-01-27,150.92,155.47,150.895,154.61,9769585.0,127630
176,Consumer Goods/Retail,PEP,2025-01-28,154.145,154.61,150.12,150.25,6349670.0,99093
177,Consumer Goods/Retail,PEP,2025-01-29,151.13,152.0,150.23,150.37,4874072.0,75718
178,Consumer Goods/Retail,PEP,2025-01-30,151.28,153.08,150.63,151.9,4671278.0,71679
179,Consumer Goods/Retail,PEP,2025-01-31,150.76,151.69,150.27,150.69,4906744.0,76581
180,Healthcare,JNJ,2025-01-02,145.23,145.77,143.78,144.02,6051330.0,86156
181,Healthcare,JNJ,2025-01-03,144.07,144.575,143.62,144.19,5879816.0,72333
182,Healthcare,JNJ,2025-01-06,143.51,144.815,142.93,143.66,7910493.0,99710
183,Healthcare,JNJ,2025-01-07,143.755,147.18,143.59,146.23,8422010.0,103642
184,Healthcare,JNJ,2025-01-08,145.49,145.59,141.44,142.27,11175552.0,153652
185,Healthcare,JNJ,2025-01-10,141.0,143.67,140.68,142.06,8821541.0,112298
186,Healthcare,JNJ,2025-01-13,142.98,145.07,142.31,144.47,10376377.0,121699
187,Healthcare,JNJ,2025-01-14,144.5,144.81,142.86,144.75,8681741.0,106075
188,Healthcare,JNJ,2025-01-15,145.31,146.05,144.26,144.97,7434562.0,93294
189,Healthcare,JNJ,2025-01-16,144.32,148.07,144.06,147.77,8964016.0,123587
190,Healthcare,JNJ,2025-01-17,147.44,148.38,146.61,147.03,10773054.0,98631
191,Healthcare,JNJ,2025-01-21,147.56,148.86,147.05,148.15,11111747.0,130474
192,Healthcare,JNJ,2025-01-22,144.0,145.47,142.11,145.27,16834747.0,212859
193,Healthcare,JNJ,2025-01-23,145.44,147.91,144.8144,146.64,10506361.0,124462
194,Healthcare,JNJ,2025-01-24,146.805,147.631,146.383,146.82,9887682.0,113561
195,Healthcare,JNJ,2025-01-27,148.45,153.45,148.0,152.89,15152314.0,184980
196,Healthcare,JNJ,2025-01-28,152.66,152.97,150.3,150.38,10320613.0,133564
197,Healthcare,JNJ,2025-01-29,150.5,151.88,150.0,151.15,7156421.0,97294
198,Healthcare,JNJ,2025-01-30,151.91,154.14,151.36,152.87,8910983.0,116638
199,Healthcare,JNJ,2025-01-31,152.62,153.18,152.055,152.15,8458715.0,95710
200,Automotive/Transportation,GM,2025-01-02,53.32,53.47,51.024,51.37,10170423.0,107725
201,Automotive/Transportation,GM,2025-01-03,51.5,51.955,50.455,51.77,8949929.0,89234
202,Automotive/Transportation,GM,2025-01-06,52.76,54.395,52.25,53.53,9728239.0,87243
203,Automotive/Transportation,GM,2025-01-07,53.7,53.7,51.92,51.98,9093274.0,74542
204,Automotive/Transportation,GM,2025-01-08,51.75,51.75,50.305,51.0,7243663.0,89224
205,Automotive/Transportation,GM,2025-01-10,50.78,50.84,49.76,49.85,7847704.0,78036
206,Automotive/Transportation,GM,2025-01-13,49.035,50.1,49.02,49.93,7950908.0,82857
207,Automotive/Transportation,GM,2025-01-14,50.43,51.415,50.2,50.94,7170066.0,70702
208,Automotive/Transportation,GM,2025-01-15,52.2,52.945,51.62,51.7,7518934.0,81503
209,Automotive/Transportation,GM,2025-01-16,51.66,52.02,51.16,51.84,6415449.0,77557
210,Automotive/Transportation,GM,2025-01-17,51.93,52.1892,50.73,50.97,9619992.0,75650
211,Automotive/Transportation,GM,2025-01-21,51.785,54.06,51.29,53.89,12962111.0,123430
