symbol,t,o,h,l,c,v,n
ED,2023-04-03 04:00:00,95.24,95.79,94.41,95.09,2235281.0,28503
ED,2023-04-04 04:00:00,95.25,96.37,95.103,96.02,1560914.0,24625
ED,2023-04-05 04:00:00,96.81,98.76,96.7,98.51,2040570.0,34309
ED,2023-04-06 04:00:00,98.92,99.35,97.57,98.97,1578628.0,25403
ED,2023-04-10 04:00:00,98.75,99.25,97.91,99.21,1355614.0,22596
ED,2023-04-11 04:00:00,99.16,99.54,98.28,99.11,1338758.0,22257
ED,2023-04-12 04:00:00,99.1,99.73,98.29,98.69,1185321.0,19127
ED,2023-04-13 04:00:00,98.15,98.88,96.56,98.08,1335233.0,23062
ED,2023-04-14 04:00:00,97.22,97.65,96.49,96.68,1826956.0,27162
ED,2023-04-17 04:00:00,97.1,97.95,96.85,97.87,1520119.0,22807
ED,2023-04-18 04:00:00,97.8,97.96,96.97,97.52,997245.0,17012
ED,2023-04-19 04:00:00,97.78,98.81,97.68,98.14,1158326.0,18798
ED,2023-04-20 04:00:00,98.53,98.71,97.74,98.66,1215900.0,20241
ED,2023-04-21 04:00:00,99.56,99.75,98.52,99.04,1875080.0,19647
ED,2023-04-24 04:00:00,99.2,99.89,98.63,99.84,1110675.0,17425
ED,2023-04-25 04:00:00,100.0,100.92,99.655,100.4,1404110.0,25135
ED,2023-04-26 04:00:00,99.29,100.43,98.86,99.14,1378572.0,23580
ED,2023-04-27 04:00:00,99.04,99.58,98.21,99.18,1713551.0,29399
ED,2023-04-28 04:00:00,99.08,99.66,97.89,98.47,2315983.0,28954
ED,2023-05-01 04:00:00,98.43,100.125,98.29,99.11,1834811.0,25620
ED,2023-05-02 04:00:00,99.02,99.59,98.08,98.57,1425175.0,23232
ED,2023-05-03 04:00:00,99.39,99.42,97.98,98.04,1202993.0,20597
ED,2023-05-04 04:00:00,98.23,99.22,97.72,98.52,1648058.0,26580
ED,2023-05-05 04:00:00,98.8,100.44,97.8,99.49,2218632.0,31062
ED,2023-05-08 04:00:00,99.34,100.32,98.25,99.01,1524887.0,23117
ED,2023-05-09 04:00:00,99.15,99.26,98.38,98.77,1469868.0,22429
ED,2023-05-10 04:00:00,99.34,99.99,98.6,99.41,1504359.0,20717
ED,2023-05-11 04:00:00,99.44,99.76,98.55,98.96,1628885.0,25377
ED,2023-05-12 04:00:00,99.45,100.08,98.85,99.52,1624590.0,24191
ED,2023-05-15 04:00:00,99.84,100.0,97.65,98.48,1838147.0,28454
ED,2023-05-16 04:00:00,97.47,97.8218,96.4,96.5,2261204.0,31193
ED,2023-05-17 04:00:00,96.67,96.74,95.67,95.9,1742485.0,27070
ED,2023-05-18 04:00:00,95.31,95.78,94.81,95.36,1806376.0,28506
ED,2023-05-19 04:00:00,95.85,96.17,94.88,95.19,2209829.0,30474
ED,2023-05-22 04:00:00,95.35,95.97,94.43,94.65,1906990.0,26854
ED,2023-05-23 04:00:00,94.3,94.78,93.7,93.88,4775095.0,33451
ED,2023-05-24 04:00:00,94.19,94.51,93.27,93.5,1578244.0,25732
ED,2023-05-25 04:00:00,93.28,93.825,92.35,93.22,3679284.0,37797
ED,2023-05-26 04:00:00,93.13,93.14,92.22,92.69,2210729.0,32273
ED,2023-05-30 04:00:00,92.58,93.515,92.24,92.56,1939119.0,28123
ED,2023-05-31 04:00:00,92.78,93.66,92.32,93.3,3277278.0,25474
ED,2023-06-01 04:00:00,93.71,93.74,91.58,91.82,2937086.0,32115
ED,2023-06-02 04:00:00,91.62,92.7,90.515,91.76,2244757.0,32752
ED,2023-06-05 04:00:00,91.82,93.83,91.82,92.95,2075801.0,37473
ED,2023-06-06 04:00:00,93.49,93.57,92.2,92.41,1543190.0,26001
ED,2023-06-07 04:00:00,92.42,93.88,91.151,93.54,1847129.0,28667
ED,2023-06-08 04:00:00,92.38,94.25,92.32,94.0,1416360.0,29135
ED,2023-06-09 04:00:00,94.0,94.19,93.37,93.49,1264860.0,26791
ED,2023-06-12 04:00:00,93.7,93.7,92.05,92.63,2020876.0,30043
ED,2023-06-13 04:00:00,92.19,92.52,91.511,92.03,1728880.0,28693
ED,2023-06-14 04:00:00,92.31,93.55,91.85,92.39,1678002.0,28941
ED,2023-06-15 04:00:00,93.01,93.69,92.46,93.02,1997569.0,27986
ED,2023-06-16 04:00:00,93.38,94.15,92.71,92.97,4678720.0,30918
ED,2023-06-20 04:00:00,93.1,93.24,91.95,92.02,1939650.0,29660
ED,2023-06-21 04:00:00,91.92,92.95,91.02,92.92,1907134.0,23170
ED,2023-06-22 04:00:00,93.31,93.56,91.95,92.12,1914026.0,28531
ED,2023-06-23 04:00:00,92.59,92.63,90.4113,90.74,1994122.0,25633
ED,2023-06-26 04:00:00,91.03,91.84,90.34,91.68,1242591.0,20023
ED,2023-06-27 04:00:00,91.92,92.34,91.621,91.98,1263083.0,21007
ED,2023-06-28 04:00:00,91.98,91.98,89.87,90.11,1490468.0,24004
ED,2023-06-29 04:00:00,89.4,90.3393,89.3196,89.57,1545043.0,27741
ED,2023-06-30 04:00:00,89.82,90.45,89.47,90.4,1552125.0,25419
ED,2023-07-03 04:00:00,90.2,91.06,89.84,91.05,707013.0,12011
ED,2023-07-05 04:00:00,90.75,93.45,90.68,92.85,2334745.0,38968
ED,2023-07-06 04:00:00,92.31,92.67,91.6,92.17,1776242.0,28293
ED,2023-07-07 04:00:00,91.48,92.66,91.1002,92.03,1664307.0,29767
ED,2023-07-10 04:00:00,91.81,91.95,90.9601,91.39,1560639.0,27147
ED,2023-07-11 04:00:00,91.36,92.54,91.0,92.54,1082715.0,20941
ED,2023-07-12 04:00:00,92.81,93.43,92.27,93.09,1294216.0,23947
ED,2023-07-13 04:00:00,92.71,93.8,92.28,93.77,1712878.0,28845
ED,2023-07-14 04:00:00,93.52,93.6248,92.72,93.08,1121857.0,20160
ED,2023-07-17 04:00:00,92.91,93.055,91.92,92.42,1512791.0,27135
ED,2023-07-18 04:00:00,92.55,93.345,91.22,92.14,2013039.0,35061
ED,2023-07-19 04:00:00,92.48,93.77,92.41,93.49,2030125.0,30913
ED,2023-07-20 04:00:00,93.8,96.05,93.22,95.89,2095876.0,33897
ED,2023-07-21 04:00:00,97.1,97.84,96.555,97.13,2121681.0,36618
ED,2023-07-24 04:00:00,97.31,97.8,96.92,97.13,1124296.0,22933
ED,2023-07-25 04:00:00,97.1,98.12,96.63,97.71,1980024.0,29088
ED,2023-07-26 04:00:00,97.58,98.845,97.25,97.5,1070002.0,23460
ED,2023-07-27 04:00:00,96.95,97.47,95.54,95.75,1482009.0,26479
ED,2023-07-28 04:00:00,96.32,96.59,94.94,95.64,1406299.0,25656
ED,2023-07-31 04:00:00,95.93,96.02,94.37,94.86,4358892.0,32984
ED,2023-08-01 04:00:00,94.89,95.34,93.28,93.34,1728276.0,27857
ED,2023-08-02 04:00:00,93.42,94.2,93.2,93.33,1404923.0,27436
ED,2023-08-03 04:00:00,92.98,92.995,90.3,90.33,2229915.0,40347
ED,2023-08-04 04:00:00,90.59,92.1788,88.7,89.31,2819026.0,46143
ED,2023-08-07 04:00:00,89.93,91.37,89.86,90.62,2072410.0,34487
ED,2023-08-08 04:00:00,90.96,91.24,90.185,91.19,1462362.0,27893
