sector,symbol,date,open,high,low,close,volume,num_trades
Technology/IT,MSFT,2023-04-03,286.52,288.27,283.95,287.23,24743342.0,351148
Technology/IT,MSFT,2023-04-04,287.23,290.4499,285.67,287.18,25824299.0,351664
Technology/IT,MSFT,2023-04-05,285.85,287.15,282.92,284.34,22064770.0,315075
Technology/IT,MSFT,2023-04-06,283.21,292.08,282.03,291.6,29770334.0,391332
Technology/IT,MSFT,2023-04-10,289.208,289.6,284.71,289.39,23095494.0,320739
Technology/IT,MSFT,2023-04-11,285.75,285.98,281.64,282.83,27011589.0,397668
Technology/IT,MSFT,2023-04-12,284.79,287.01,281.96,283.49,27392932.0,392791
Technology/IT,MSFT,2023-04-13,283.59,289.9,283.17,289.84,24212878.0,319817
Technology/IT,MSFT,2023-04-14,287.0,288.48,283.69,286.14,20982817.0,325336
Technology/IT,MSFT,2023-04-17,289.93,291.6,286.16,288.8,23836223.0,327268
Technology/IT,MSFT,2023-04-18,291.57,291.755,287.01,288.37,20129345.0,283384
Technology/IT,MSFT,2023-04-19,285.99,289.05,284.54,288.45,17150271.0,280116
Technology/IT,MSFT,2023-04-20,285.25,289.03,285.08,286.11,23244363.0,307055
Technology/IT,MSFT,2023-04-21,285.01,286.27,283.0608,285.76,21676387.0,312673
Technology/IT,MSFT,2023-04-24,282.09,284.95,278.72,281.77,26611014.0,420683
Technology/IT,MSFT,2023-04-25,279.51,281.6,275.37,275.42,45759736.0,616117
Technology/IT,MSFT,2023-04-26,296.7,299.57,292.73,295.37,64542982.0,870311
Technology/IT,MSFT,2023-04-27,295.97,305.2,295.25,304.83,46462608.0,650723
Technology/IT,MSFT,2023-04-28,304.01,308.93,303.31,307.26,36469613.0,496688
Technology/IT,MSFT,2023-05-01,306.97,308.6,305.15,305.56,21267115.0,316909
Technology/IT,MSFT,2023-05-02,307.76,309.18,303.91,305.41,26404431.0,393439
Technology/IT,MSFT,2023-05-03,306.62,308.61,304.09,304.4,22360754.0,352104
Technology/IT,MSFT,2023-05-04,306.24,307.7626,303.4,305.41,22519907.0,311224
Technology/IT,MSFT,2023-05-05,305.72,311.97,304.27,310.65,28196052.0,381026
Technology/IT,MSFT,2023-05-08,310.13,310.2,306.09,308.65,21308813.0,335929
Technology/IT,MSFT,2023-05-09,308.0,310.04,306.31,307.0,21340829.0,299950
Technology/IT,MSFT,2023-05-10,308.62,313.0,307.67,312.31,30078044.0,398456
Technology/IT,MSFT,2023-05-11,310.1,311.12,306.2601,310.11,31680179.0,381620
Technology/IT,MSFT,2023-05-12,310.55,310.65,306.6,308.97,19672946.0,298800
Technology/IT,MSFT,2023-05-15,309.095,309.905,307.59,309.46,16336547.0,269983
Technology/IT,MSFT,2023-05-16,309.83,313.71,309.83,311.74,25680347.0,352425
Technology/IT,MSFT,2023-05-17,312.29,314.43,310.74,314.0,24315012.0,308657
Technology/IT,MSFT,2023-05-18,314.53,319.04,313.72,318.52,27275991.0,386415
Technology/IT,MSFT,2023-05-19,316.74,318.75,316.37,318.34,27543551.0,325653
Technology/IT,MSFT,2023-05-22,318.6,322.59,318.01,321.18,24115664.0,342361
Technology/IT,MSFT,2023-05-23,320.03,322.72,315.25,315.26,30797173.0,430792
